,pstation,p_Abetment of suicide,p_Causing hurt-Criminal intimidation-wrong restraint,p_Causing hurt-mischief-wrong restraint,p_Causing hurt-wrong restraint,p_Concealment of birth,p_Criminal breach of trust,p_Criminal breach of trust-cheating,p_Criminal intimidation,p_Disobedience to pub. Serv. Order,p_Disobedience to pub. Serv. Order-hurting public servant,p_Kidnapping,p_Negligence conduct,p_Negligence conduct-Negligent conduct,p_Negligent conduct,p_Negligent conduct-endangering safety of others,p_Negligent conduct-public nuisance,p_Others,p_Rape,p_Rash driving,p_Robbery,p_Snatching,p_Stalking,p_Theft,p_Theft by clerk,p_cheating,p_corruption,p_culpable homicide,p_domestic abuse,p_endangering safety of others,p_false property acquisuition-hurting public servant,p_grievous hurt,p_house-trespass,p_hurt by dangerous weapons,p_hurt by dangerous weapons-wrong restraint,p_mischief,p_murder,p_obstruction by a person,p_obstruction by a person-public nuisance,p_sexual harrasement,lat,lon
0,ADARSH NAGAR,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,5,7,1,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,2,28.7192604,77.173582
1,ALIPUR,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,4,2,0,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,28.7972263,77.13313629999999
2,AMAN VIHAR,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,28.70322019999999,77.07155639999999
3,AMAR COLONY,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,5,3,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28.5617318,77.242679
4,AMBEDKAR NAGAR,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,2,0,0,1,8,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,26.4683952,82.6915429
5,ASHOK VIHAR,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,2,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,28.6884549,77.17575029999999
6,BABA HARIDAS NAGAR,1,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3,28.6922301,76.96574629999999
7,BADARPUR,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,6,1,1,0,7,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,28.5039606,77.30182789999999
8,BARA HINDU RAO,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,3,0,7,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,28.6613574,77.2024306
9,BARAKHAMBA ROAD,0,0,0,1,0,0,10,0,0,0,3,0,0,0,0,0,0,0,2,1,1,0,5,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,28.6299073,77.22415889999999
10,BAWANA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,3,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28.8054651,77.0463008
11,BEGUM PUR,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,7,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,28.7227207,77.0626793
12,BHAJAN PURA,0,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,3,2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,5,1,0,28.7004534,77.25919379999999
13,BHALSWA DAIRY,0,1,0,1,0,0,0,0,4,0,4,0,0,0,0,0,1,3,2,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.7471172,77.1628959
14,BHARAT NAGAR,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,5,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,3,17.4639345,78.4282972
15,BINDA PUR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.6107207,77.0659685
16,BURARI,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1,0,3,0,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,28.7535212,77.19482409999999
17,CHANKYA PURI,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,10,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28.5938532,77.1887364
18,CHHAWALA,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,7,2,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,28.562109,77.0023039
19,CHITRANJAN PARK,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,6,0,2,28.535291,77.25093749999999
20,CIVIL LINES,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6814284,77.2226866
21,CONNAUGHT PLACE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,13,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,28.6314512,77.2166672
22,CRIME BRANCH,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6347006,69.6155447
23,DEFENCE COLONY,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,5,1,4,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4,28.5726334,77.23250999999999
24,DELHI CANTT,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5961279,77.1587375
25,DWARKA NORTH,1,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,0,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,28.5921401,77.0460481
26,DWARKA SOUTH,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,6,1,28.5921401,77.0460481
27,ECONOMIC OFFENCES WING,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0181677,80.2128245
28,FATEHPUR BERI,0,0,0,2,0,0,0,0,10,0,2,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,28.4576531,77.1795558
29,GOKUL PURI,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15.3507958,75.0800957
30,GOVIND PURI,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,3,2,1,0,9,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,28.5354383,77.26393259999999
31,GREATER KAILASH,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,1,0,0,3,0,9,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,2,28.5428238,77.23954789999999
32,GULABI BAGH,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,0,2,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,2,28.6724241,77.19195959999999
33,HARI NAGAR,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,28.6248596,77.11086809999999
34,HARSH VIHAR,0,0,0,1,0,0,0,0,13,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,28.7033188,77.31951959999999
35,HAUZ KHAS,0,1,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,1,2,0,7,0,4,0,0,2,0,0,1,0,0,0,0,0,1,0,2,28.5494489,77.2001368
36,HAZARAT NIZAMUDDIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5889778,77.25350759999999
37,INDER PURI,0,2,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,0,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28.6319998,77.14509939999999
38,JAFFARPUR KALAN,0,0,0,0,0,0,0,0,5,0,4,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,28.5901698,76.920915
39,JAFRABAD,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,1,20.8681767,71.3653796
40,JAHANGIR PURI,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,3,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,28.7258326,77.1627518
41,JANAK PURI,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,2,0,5,0,6,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,28.621899,77.08783849999999
42,JYOTI NAGAR,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,2,1,7,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,1,28.6912087,77.2900787
43,KALKAJI,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,20,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.5498394,77.2607284
44,KANJHAWALA,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28.7347285,77.0041762
45,KAPASHERA,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28.5255897,77.0796189
46,KARAWAL NAGAR,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,28.7283102,77.276926
47,KASHMERI GATE,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28.6665706,77.2290677
48,KESHAV PURAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,12,1,28.6172972,77.3131993
